website,stars
https://github.com/lucasr/twoway-view,5092
https://github.com/didi/VirtualAPK,5080
https://github.com/hankcs/HanLP,5068
https://github.com/JakeWharton/timber,5057
https://github.com/singwhatiwanna/dynamic-load-apk,5019
https://github.com/ogaclejapan/SmartTabLayout,5003
https://github.com/ChrisRM/material-theme-jetbrains,5001
https://github.com/naver/pinpoint,4996
https://github.com/google/j2objc,4981
https://github.com/square/otto,4968
https://github.com/wyouflf/xUtils,4965
https://github.com/trello/RxLifecycle,4922
https://github.com/OpenRefine/OpenRefine,4915
https://github.com/facebook/rebound,4867
https://github.com/googlesamples/android-testing,4845
https://github.com/rengwuxian/MaterialEditText,4830
https://github.com/YoKeyword/Fragmentation,4809
https://github.com/antoniolg/androidmvp,4808
https://github.com/googlesamples/easypermissions,4800
https://github.com/koush/AndroidAsync,4775
https://github.com/claritylab/lucida,4753
https://github.com/gabrielemariotti/cardslib,4743
https://github.com/daimajia/AndroidImageSlider,4740
https://github.com/apache/storm,4686
https://github.com/ikew0ng/SwipeBackLayout,4681
https://github.com/jgilfelt/SystemBarTint,4645
https://github.com/wyouflf/xUtils3,4644
https://github.com/GcsSloop/AndroidNote,4639
https://github.com/etsy/AndroidStaggeredGrid,4628
https://github.com/sparklemotion/nokogiri,4627
https://github.com/youth5201314/banner,4620
https://github.com/swagger-api/swagger-core,4614
https://github.com/thinkaurelius/titan,4598
https://github.com/Trinea/android-common,4584
https://github.com/dmytrodanylyk/circular-progress-button,4574
https://github.com/daimajia/NumberProgressBar,4571
https://github.com/apache/hadoop,4539
https://github.com/laobie/StatusBarUtil,4534
https://github.com/pardom/ActiveAndroid,4528
https://github.com/traex/RippleEffect,4514
https://github.com/eclipse/che,4494
https://github.com/vinc3m1/RoundedImageView,4485
https://github.com/Netflix/eureka,4480
https://github.com/neo4j/neo4j,4474
https://github.com/square/javapoet,4460
https://github.com/square/okio,4456
https://github.com/frogermcs/InstaMaterial,4454
https://github.com/yixia/VitamioBundle,4451
https://github.com/Devlight/InfiniteCycleViewPager,4440
https://github.com/mcxiaoke/android-volley,4431
https://github.com/go-lang-plugin-org/go-lang-idea-plugin,4431
https://github.com/CyberAgent/android-gpuimage,4429
https://github.com/square/sqlbrite,4429
https://github.com/daniulive/SmarterStreaming,4414
https://github.com/google/android-classyshark,4407
https://github.com/Yalantis/Side-Menu.Android,4377
https://github.com/facebook/facebook-android-sdk,4341
https://github.com/lwansbrough/react-native-camera,4308
