MinecraftForge,MinecraftForge,https://github.com/MinecraftForge/MinecraftForge,2087,2353
spring-projects,spring-security,https://github.com/spring-projects/spring-security,2046,1185
dreamhead,moco,https://github.com/dreamhead/moco,1969,1591
apache,incubator-skywalking,https://github.com/apache/incubator-skywalking,1896,3387
mongodb,mongo-java-driver,https://github.com/mongodb/mongo-java-driver,1886,2541
square,keywhiz,https://github.com/square/keywhiz,1851,1820
crate,crate,https://github.com/crate/crate,1851,31314
brianfrankcooper,YCSB,https://github.com/brianfrankcooper/YCSB,1830,1464
keycloak,keycloak,https://github.com/keycloak/keycloak,1826,8993
raphw,byte-buddy,https://github.com/raphw/byte-buddy,1800,2421
immutables,immutables,https://github.com/immutables/immutables,1789,1398
bisq-network,exchange,https://github.com/bisq-network/exchange,1768,1017
bitcoinj,bitcoinj,https://github.com/bitcoinj/bitcoinj,1744,2042
graphql-java,graphql-java,https://github.com/graphql-java/graphql-java,1736,1798
Freeyourgadget,Gadgetbridge,https://github.com/Freeyourgadget/Gadgetbridge,1709,2636
spring-cloud,spring-cloud-netflix,https://github.com/spring-cloud/spring-cloud-netflix,1707,1524
languagetool-org,languagetool,https://github.com/languagetool-org/languagetool,1694,6403
nutzam,nutz,https://github.com/nutzam/nutz,1685,2234
linkedin,pinot,https://github.com/linkedin/pinot,1674,7278
junit-team,junit5,https://github.com/junit-team/junit5,1663,5616
apache,hive,https://github.com/apache/hive,1634,4854
ratpack,ratpack,https://github.com/ratpack/ratpack,1625,1970
spring-projects,spring-data-examples,https://github.com/spring-projects/spring-data-examples,1622,1002
cucumber,cucumber-jvm,https://github.com/cucumber/cucumber-jvm,1605,2196
jMonkeyEngine,jmonkeyengine,https://github.com/jMonkeyEngine/jmonkeyengine,1603,2109
Rajawali,Rajawali,https://github.com/Rajawali/Rajawali,1599,1101
wordpress-mobile,WordPress-Android,https://github.com/wordpress-mobile/WordPress-Android,1597,24044
killbill,killbill,https://github.com/killbill/killbill,1564,3698
apache,beam,https://github.com/apache/beam,1561,11952
timmolter,XChange,https://github.com/timmolter/XChange,1559,3447
querydsl,querydsl,https://github.com/querydsl/querydsl,1552,5238
igniterealtime,Smack,https://github.com/igniterealtime/Smack,1550,1334
azkaban,azkaban,https://github.com/azkaban/azkaban,1508,3288
FasterXML,jackson-databind,https://github.com/FasterXML/jackson-databind,1504,2536
twosigma,beakerx,https://github.com/twosigma/beakerx,1501,6320
apache,incubator-pulsar,https://github.com/apache/incubator-pulsar,1468,2079
apache,jmeter,https://github.com/apache/jmeter,1455,3449
javaparser,javaparser,https://github.com/javaparser/javaparser,1447,2342
twitter,commons,https://github.com/twitter/commons,1443,1365
hidroh,materialistic,https://github.com/hidroh/materialistic,1435,2222
graphhopper,graphhopper,https://github.com/graphhopper/graphhopper,1410,3756
igniterealtime,Openfire,https://github.com/igniterealtime/Openfire,1408,2714
gchq,Gaffer,https://github.com/gchq/Gaffer,1382,7212
syncany,syncany,https://github.com/syncany/syncany,1367,1160
floragunncom,search-guard,https://github.com/floragunncom/search-guard,1356,3751
jphp-compiler,jphp,https://github.com/jphp-compiler/jphp,1346,1364
OryxProject,oryx,https://github.com/OryxProject/oryx,1301,1298
pmd,pmd,https://github.com/pmd/pmd,1296,1850
jmxtrans,jmxtrans,https://github.com/jmxtrans/jmxtrans,1285,1483
yahoo,squidb,https://github.com/yahoo/squidb,1285,1114
apache,kylin,https://github.com/apache/kylin,1231,2876
mongodb,morphia,https://github.com/mongodb/morphia,1227,1097
orbit,orbit,https://github.com/orbit/orbit,1188,1371
osmdroid,osmdroid,https://github.com/osmdroid/osmdroid,1187,1199
stagemonitor,stagemonitor,https://github.com/stagemonitor/stagemonitor,1178,1491
apache,commons-lang,https://github.com/apache/commons-lang,1166,1118
tananaev,traccar,https://github.com/tananaev/traccar,1152,3935
apache,incubator-gobblin,https://github.com/apache/incubator-gobblin,1145,6638
elastic,elasticsearch-hadoop,https://github.com/elastic/elasticsearch-hadoop,1140,1782
reactor,reactor-core,https://github.com/reactor/reactor-core,1138,2961
apache,geode,https://github.com/apache/geode,1116,5894
uber,okbuck,https://github.com/uber/okbuck,1114,2156
eclipse,openj9,https://github.com/eclipse/openj9,1114,3155
thingsboard,thingsboard,https://github.com/thingsboard/thingsboard,1094,1080
pac4j,pac4j,https://github.com/pac4j/pac4j,1089,2200
Grover-c13,PokeGOAPI-Java,https://github.com/Grover-c13/PokeGOAPI-Java,1072,1476
spring-projects,spring-data-jpa,https://github.com/spring-projects/spring-data-jpa,1047,1369
ankidroid,Anki-Android,https://github.com/ankidroid/Anki-Android,1043,3923
JanusGraph,janusgraph,https://github.com/JanusGraph/janusgraph,1033,1353
joel-costigliola,assertj-core,https://github.com/joel-costigliola/assertj-core,1029,1328
sk89q,WorldEdit,https://github.com/sk89q/WorldEdit,1018,1825
simpligility,android-maven-plugin,https://github.com/simpligility/android-maven-plugin,1005,1257
